TIME,Tank Level,S1 Input PT,S1 Output PT,S1 Output Flow,L1-PT,L2-PT,L3-PT,L4-PT,S2 Receipt Flow,S2-PT,S2 Forward Flow,L5-PT,L6-PT,L7-PT,L8-PT,S3 Receipt Flow,S3-PT,Temperature,Class
2020/7/15 0:02:55,7.5,5,51.08,270.32,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.15,25.65,25.73,29.28,139.4,26.09,55.54,Z
2020/7/15 0:03:00,7.5,5,51.08,270.32,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.15,25.65,25.73,29.29,139.54,26.09,55.54,Z
2020/7/15 0:03:05,7.5,5,51.08,270.38,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.15,25.65,25.73,29.28,139.54,26.09,55.54,Z
2020/7/15 0:03:10,7.5,5,51.08,270.55,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.15,25.65,25.73,29.28,139.54,26.09,55.54,Z
2020/7/15 0:03:15,7.5,5,51.08,270.56,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.15,25.65,25.73,29.28,139.54,26.09,55.54,Z
2020/7/15 0:03:20,7.5,5,51.08,270.56,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.54,26.09,55.54,Z
2020/7/15 0:03:25,7.5,5,51.1,270.63,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.54,26.09,55.55,Z
2020/7/15 0:03:30,7.5,5,55,300,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.54,26.09,57.5,A
2020/7/15 0:03:35,7.5,5,60,367,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.54,26.09,60,A
2020/7/15 0:03:40,7.5,5,72.13,376,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.54,26.09,66.065,A
2020/7/15 0:03:45,7.5,5,85,424.185,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.73,29.28,139.42,26.09,72.5,A
2020/7/15 0:03:50,7.5,5,90.1,462.496,41.63,21.03,22.02,28.42,131.39,29.5,138.68,18.16,25.65,25.75,29.28,139.42,26.09,75.05,A
2020/7/15 0:03:55,7.5,5,87.21,369,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.56,26.09,73.605,A
2020/7/15 0:04:00,7.5,5,65,275.504,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.27,139.56,26.09,62.5,A
2020/7/15 0:04:05,7.5,5,59,268,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.27,139.56,26.09,59.5,A
2020/7/15 0:04:10,7.5,5,51.1,288.512,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.56,26.09,55.55,A
2020/7/15 0:04:15,7.505,4.99,51.1,270.29,41.63,21.03,22.02,28.44,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.56,26.09,55.55,Z
2020/7/15 0:04:20,7.505,4.99,51.1,270.39,41.63,21.03,22.02,28.44,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.56,26.09,55.55,Z
2020/7/15 0:04:25,7.5,5,51.08,269.91,41.63,21.03,22.02,28.44,131.39,29.5,138.84,18.16,25.65,25.75,29.29,139.56,26.09,55.54,Z
2020/7/15 0:04:30,7.5,5,51.08,270.44,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.29,139.56,26.09,55.54,Z
2020/7/15 0:04:35,7.5,5,51.08,270.44,41.63,21.03,22.02,28.42,131.39,29.5,138.84,18.16,25.65,25.75,29.29,139.44,26.09,55.54,Z
2020/7/15 0:04:40,7.5,5,51.08,270.01,41.63,21.03,22.02,28.44,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.55,26.09,55.54,Z
2020/7/15 0:04:45,7.5,5,51.08,270.65,41.63,21.03,22.02,28.44,131.39,29.5,138.84,18.16,25.65,25.75,29.28,139.55,26.09,55.54,Z
2020/7/15 0:50:00,7.49,5.02,51.05,270.04,41.59,21.06,22.08,28.49,131.44,29.56,138.83,18.2,25.72,25.78,29.33,139.6,26.14,55.525,Z
2020/7/15 0:50:05,7.49,5.02,51.05,270.39,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.6,26.14,55.525,Z
2020/7/15 0:50:10,7.49,5.02,51.05,270.43,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.6,26.14,55.525,Z
2020/7/15 0:50:15,7.49,5.02,51.05,270.78,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.71,26.14,55.525,Z
2020/7/15 0:50:20,7.495,5.01,51.05,270.31,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.71,26.14,55.525,Z
2020/7/15 0:50:25,7.495,5.01,51.05,270.76,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.71,26.14,55.525,Z
2020/7/15 0:50:30,7.495,5.01,51.05,270.27,41.58,21.06,22.08,28.49,131.44,29.56,138.83,18.22,25.72,25.78,29.33,139.71,26.14,55.525,Z
2020/7/15 0:50:35,6,5.01,51.05,270.27,41.58,21.06,22.08,28.49,131.56,29.56,138.83,18.22,25.72,25.78,29.33,139.61,26.14,55.525,Z
2020/7/15 0:50:40,6,5.01,51.05,269.93,41.58,21.06,22.08,28.49,131.56,29.56,138.83,18.22,25.72,25.78,29.33,139.61,26.14,55.525,Z
2020/7/15 0:50:45,6,5.01,51.05,270.42,41.58,21.06,22.08,28.49,131.56,29.56,138.83,18.22,25.72,25.78,29.33,139.61,26.14,55.525,Z
2020/7/15 0:50:50,6,5.01,51.05,270.46,41.58,21.06,22.08,28.49,131.56,29.56,138.83,18.22,25.72,25.78,29.33,139.61,26.14,55.525,Z
2020/7/15 0:50:55,6,5.01,51.05,270.62,41.58,21.06,22.09,28.49,131.56,29.56,138.83,18.22,25.73,25.78,29.33,139.72,26.14,55.525,Z
2020/7/15 0:51:00,5.503333333,5.01,51.05,270.62,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.33,139.68,26.15,55.525,Z
2020/7/15 0:51:05,5.27730303,2.01,51.04,270.6,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.33,139.62,26.15,55.52,Z
2020/7/15 0:51:10,5.051272727,1.9,51.04,270.55,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.33,139.62,26.15,55.52,Z
2020/7/15 0:51:15,4.825242424,1.79,51.04,270.55,41.59,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.33,139.62,26.15,55.52,Z
2020/7/15 0:51:20,4.599212121,1.68,51.04,270.57,41.59,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.33,139.73,26.15,55.52,Z
2020/7/15 0:51:25,4.373181818,1.57,51.04,270.53,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.31,139.73,26.15,55.52,Z
2020/7/15 0:51:30,4.147151515,1.46,51.04,270.56,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.34,139.73,26.15,55.52,Z
2020/7/15 0:51:35,3.921121212,1.35,51.04,270.01,41.58,21.06,22.09,28.49,131.55,29.56,138.87,18.22,25.73,25.78,29.34,139.73,26.15,55.52,Z
2020/7/15 0:51:40,3.695090909,1.24,51.04,270.59,41.58,21.06,22.09,28.49,131.55,29.56,138.94,18.2,25.73,25.78,29.34,139.73,26.15,55.52,Z
