Tank Level,S1 Input PT,S1 Output PT,S1 Output Flow,Temperature,Class,pred_Class
7.5,5.0,51.09,270.3,55.54,Z,Z
7.5,5.0,51.09,270.3,55.54,Z,Z
7.5,5.0,90.1,462.5,75.05,A,A
7.5,5.0,87.21,369.0,73.6,A,A
7.5,5.0,65.0,275.5,62.5,A,A
7.5,5.0,51.09,202.41,55.54,Z,A
7.5,5.0,55.03,179.32,57.52,D,A
7.5,5.0,56.24,175.78,58.12,D,D
7.5,5.0,59.05,169.81,59.52,D,D
7.5,5.0,60.24,189.08,60.12,D,Z
7.51,4.98,81.09,276.59,70.54,F,F
7.51,4.98,86.3,279.19,73.15,F,F
7.51,4.98,94.29,281.8,77.14,F,A
7.51,4.98,0.0,0.0,30.0,G,G
7.51,4.98,24.3,0.0,42.15,H,H
7.51,4.98,35.3,182.03,47.65,H,H
7.51,4.98,46.8,227.7,53.4,Z,A
6.67,4.36,61.48,247.37,55.71,Z,Z
6.67,4.36,63.15,251.93,56.49,F,A
6.67,4.36,68.28,253.62,58.91,F,F
6.67,4.36,76.32,256.04,62.72,F,A
6.67,4.36,81.23,258.45,65.03,F,F
6.67,4.36,88.75,260.86,68.58,F,F
6.67,4.36,0.0,0.0,26.67,F,A
6.67,4.36,22.87,0.0,37.47,G,G
6.67,4.36,33.22,168.5,42.36,H,A
6.67,4.36,44.05,210.78,47.47,H,H
6.67,4.36,46.82,247.03,48.78,H,H
6.67,4.36,49.1,247.03,49.86,H,A
8.94,5.73,52.82,334.63,57.86,Z,Z
9.0,6.13,61.92,323.55,62.79,Z,A
9.0,6.13,63.6,329.51,63.67,F,A
9.0,6.13,68.76,331.72,66.41,F,F
9.0,6.13,23.03,0.0,42.24,G,G
9.0,6.13,33.46,220.39,47.75,H,A
9.0,6.13,44.36,275.69,53.51,H,H
9.0,6.13,47.15,323.1,54.98,H,H
9.0,6.13,49.46,323.38,56.2,Z,Z
9.0,6.13,49.46,323.38,56.2,Z,A
7.66,5.43,100.91,284.47,71.69,F,F
7.66,5.43,107.4,287.15,74.33,F,A
7.66,5.43,117.34,289.83,78.39,F,F
7.66,5.43,0.0,0.0,30.48,G,G
7.66,5.43,30.24,0.0,42.83,H,H
7.09,4.78,59.08,253.75,58.08,Z,Z
7.09,4.78,64.0,254.03,60.51,Z,A
7.09,4.78,65.74,258.71,61.36,F,F
7.09,4.78,71.08,260.45,63.99,F,F
7.09,4.78,79.45,262.93,68.12,F,A
7.09,4.78,23.81,0.0,40.7,G,G
7.09,4.78,34.59,173.04,46.01,H,H
7.09,4.78,45.86,216.45,51.56,H,H
7.72,5.02,51.78,291.07,52.24,Z,A
8.52,5.61,59.18,295.55,59.67,F,F
8.52,5.61,63.99,297.54,62.23,F,A
8.25,5.47,44.05,277.23,51.89,Z,A
8.25,5.47,44.05,277.23,51.89,Z,Z
8.25,5.47,56.64,282.23,58.79,F,F
8.25,5.47,61.24,284.12,61.31,F,F
8.25,5.47,0.0,0.0,27.76,F,A
8.25,5.47,20.52,0.0,39.0,G,G
8.25,5.47,29.8,188.77,44.08,H,A
8.25,5.47,39.51,236.13,49.4,H,H
8.25,5.47,41.99,276.74,50.76,H,H
8.25,5.47,44.05,276.98,51.89,Z,Z
6.52,5.28,64.0,151.88,50.73,D,A
6.52,5.28,62.3,152.35,50.05,D,D
7.42,5.38,61.92,270.23,55.07,Z,A
7.42,5.38,61.92,270.23,55.07,Z,Z
7.42,5.38,71.56,269.84,59.06,F,F
7.42,5.38,77.52,270.13,61.52,F,F
8.57,5.67,45.74,286.06,55.57,Z,Z
8.57,5.67,45.74,286.06,55.57,Z,A
8.57,5.67,58.8,291.21,62.96,F,A
8.57,5.67,63.58,293.17,65.66,F,F
8.57,5.67,71.08,295.97,69.89,F,F
8.57,5.67,21.3,0.0,41.76,G,G
8.57,5.67,30.94,194.78,47.21,H,H
8.57,5.67,41.02,243.65,52.91,H,H
8.57,5.67,43.6,285.55,54.36,H,A
8.59,5.71,46.39,292.72,54.84,Z,Z
8.59,5.71,59.65,297.99,62.12,F,A
8.59,5.71,83.84,308.56,75.42,F,F
8.59,5.71,0.0,0.0,29.33,F,A
8.59,5.71,21.61,0.0,41.21,G,G
8.59,5.71,31.39,199.32,46.58,H,H
8.59,5.71,46.39,292.2,54.83,H,A
8.59,5.71,46.39,292.43,54.83,H,H
8.59,5.71,46.39,292.45,54.84,Z,Z
8.59,5.71,46.39,292.45,54.84,Z,A
8.6,5.71,21.78,0.0,42.52,G,G
8.6,5.71,31.64,196.19,48.07,H,H
8.6,5.71,41.94,245.41,53.87,H,A
8.6,5.71,44.58,287.62,55.35,H,A
8.6,5.71,46.75,287.62,56.58,H,H
8.6,5.71,46.76,287.87,56.59,Z,Z
